dep_relation;dep_insee;ville_relation;ville_node;ville_insee;lat;lon;name;name_norm;population;source_population
7387;01;147990;36786988;01198;45.9619025;5.0983315;Joyeux;JOYEUX;223;INSEE 2013
7387;01;145527;36786989;01199;46.0397320;5.4089802;Jujurieux;JUJURIEUX;2097;INSEE 2013
7387;01;145123;36787011;01200;46.0928000;5.4836700;Labalme;LABALME;204;INSEE 2013
7387;01;146722;26695239;01202;45.9034952;5.3480192;Lagnieu;LAGNIEU;6756;INSEE 2013
7387;01;140028;36787010;01203;46.2463304;4.8924572;Laiz;LAIZ;1130;INSEE 2013
7387;01;5756893;36787009;01204;46.1538000;5.7134000;Lalleyriat;LALLEYRIAT;239;INSEE 2013
7387;01;142151;36787016;01205;46.1252128;5.8324847;Lancrans;LANCRANS;1052;INSEE 2013
7387;01;145531;36787015;01206;46.0562000;5.5401000;Lantenay;LANTENAY;257;INSEE 2013
7387;01;145673;36787014;01207;45.9830192;4.9760120;Lapeyrouse;LAPEYROUSE;292;INSEE 2013
7387;01;103638;36787004;01208;45.8097000;5.7729400;Lavours;LAVOURS;148;INSEE 2013
7387;01;142158;36787006;01209;46.0984000;5.8840200;Léaz;LEAZ;569;INSEE 2013
7387;01;139516;36787005;01210;46.3026091;5.9407475;Lélex;LELEX;225;INSEE 2013
7387;01;142149;36787027;01211;46.1199017;5.1947020;Lent;LENT;1328;INSEE 2013
7387;01;138974;36787025;01212;46.4071958;5.1448104;Lescheroux;LESCHEROUX;683;INSEE 2013
7387;01;148032;36787026;01213;45.9230967;5.2952422;Leyment;LEYMENT;1273;INSEE 2013
7387;01;140761;36787031;01214;46.1563067;5.4761458;Leyssard;LEYSSARD;153;INSEE 2013
7387;01;9084225;36787032;01215;46.0216411;5.7787864;Lhôpital;LHOPITAL;59;INSEE 2013
7387;01;146623;36787029;01216;45.7449125;5.5354643;Lhuis;LHUIS;854;INSEE 2013
7387;01;147327;36787030;01218;45.9300000;5.7271400;Lochieu;LOCHIEU;91;INSEE 2013
7387;01;146685;36787019;01219;45.8019000;5.5199200;Lompnas;LOMPNAS;149;INSEE 2013
7387;01;145684;36787020;01221;45.9606000;5.6590200;Lompnieu;LOMPNIEU;122;INSEE 2013
7387;01;146614;26695432;01224;45.7739423;5.2053916;Loyettes;LOYETTES;2645;INSEE 2013
7387;01;145529;36787017;01225;46.0629811;4.7825203;Lurcy;LURCY;393;INSEE 2013
7387;01;9051988;36787018;01227;45.7765000;5.7182900;Magnieu;MAGNIEU;419;INSEE 2013
7387;01;142152;36787023;01228;46.1285000;5.5379700;Maillat;MAILLAT;668;INSEE 2013
7387;01;139199;36787024;01229;46.3218000;5.1451600;Malafretaz;MALAFRETAZ;952;INSEE 2013
7387;01;138972;36787021;01230;46.4233982;5.0992912;Mantenay-Montlin;MANTENAY MONTLIN;288;INSEE 2013
7387;01;139162;36787022;01231;46.3583000;4.9064900;Manziat;MANZIAT;1924;INSEE 2013
7387;01;139007;26697670;01232;46.3428040;5.2590787;Marboz;MARBOZ;2182;INSEE 2013
